�	NULL (U+0000)	00
∻	HOMOTHETIC (U+223B)	e288bb
∼	TILDE OPERATOR (U+223C)	e288bc
∽	REVERSED TILDE (U+223D)	e288bd
∾	INVERTED LAZY S (U+223E)	e288be
∿	SINE WAVE (U+223F)	e288bf
≀	WREATH PRODUCT (U+2240)	e28980
≁	NOT TILDE (U+2241)	e28981
≂	MINUS TILDE (U+2242)	e28982
≃	ASYMPTOTICALLY EQUAL TO (U+2243)	e28983
≄	NOT ASYMPTOTICALLY EQUAL TO (U+2244)	e28984
≅	APPROXIMATELY EQUAL TO (U+2245)	e28985
≆	APPROXIMATELY BUT NOT ACTUALLY EQUAL TO (U+2246)	e28986
≇	NEITHER APPROXIMATELY NOR ACTUALLY EQUAL TO (U+2247)	e28987
≈	ALMOST EQUAL TO (U+2248)	e28988
≉	NOT ALMOST EQUAL TO (U+2249)	e28989
≊	ALMOST EQUAL OR EQUAL TO (U+224A)	e2898a
≋	TRIPLE TILDE (U+224B)	e2898b
≌	ALL EQUAL TO (U+224C)	e2898c
≍	EQUIVALENT TO (U+224D)	e2898d
≎	GEOMETRICALLY EQUIVALENT TO (U+224E)	e2898e
≏	DIFFERENCE BETWEEN (U+224F)	e2898f
≐	APPROACHES THE LIMIT (U+2250)	e28990
≑	GEOMETRICALLY EQUAL TO (U+2251)	e28991
≒	APPROXIMATELY EQUAL TO OR THE IMAGE OF (U+2252)	e28992
≓	IMAGE OF OR APPROXIMATELY EQUAL TO (U+2253)	e28993
≔	COLON EQUALS (U+2254)	e28994
≕	EQUALS COLON (U+2255)	e28995
≖	RING IN EQUAL TO (U+2256)	e28996
≗	RING EQUAL TO (U+2257)	e28997
≘	CORRESPONDS TO (U+2258)	e28998
≙	ESTIMATES (U+2259)	e28999
≚	EQUIANGULAR TO (U+225A)	e2899a
≛	STAR EQUALS (U+225B)	e2899b
≜	DELTA EQUAL TO (U+225C)	e2899c
≝	EQUAL TO BY DEFINITION (U+225D)	e2899d
≞	MEASURED BY (U+225E)	e2899e
≟	QUESTIONED EQUAL TO (U+225F)	e2899f
≠	NOT EQUAL TO (U+2260)	e289a0
≡	IDENTICAL TO (U+2261)	e289a1
≢	NOT IDENTICAL TO (U+2262)	e289a2
≣	STRICTLY EQUIVALENT TO (U+2263)	e289a3
≤	LESS-THAN OR EQUAL TO (U+2264)	e289a4
≥	GREATER-THAN OR EQUAL TO (U+2265)	e289a5
≦	LESS-THAN OVER EQUAL TO (U+2266)	e289a6
≧	GREATER-THAN OVER EQUAL TO (U+2267)	e289a7
≨	LESS-THAN BUT NOT EQUAL TO (U+2268)	e289a8
≩	GREATER-THAN BUT NOT EQUAL TO (U+2269)	e289a9
≪	MUCH LESS-THAN (U+226A)	e289aa
≫	MUCH GREATER-THAN (U+226B)	e289ab
≬	BETWEEN (U+226C)	e289ac
≭	NOT EQUIVALENT TO (U+226D)	e289ad
≮	NOT LESS-THAN (U+226E)	e289ae
≯	NOT GREATER-THAN (U+226F)	e289af
≰	NEITHER LESS-THAN NOR EQUAL TO (U+2270)	e289b0
≱	NEITHER GREATER-THAN NOR EQUAL TO (U+2271)	e289b1
≲	LESS-THAN OR EQUIVALENT TO (U+2272)	e289b2
≳	GREATER-THAN OR EQUIVALENT TO (U+2273)	e289b3
≴	NEITHER LESS-THAN NOR EQUIVALENT TO (U+2274)	e289b4
≵	NEITHER GREATER-THAN NOR EQUIVALENT TO (U+2275)	e289b5
≶	LESS-THAN OR GREATER-THAN (U+2276)	e289b6
≷	GREATER-THAN OR LESS-THAN (U+2277)	e289b7
≸	NEITHER LESS-THAN NOR GREATER-THAN (U+2278)	e289b8
≹	NEITHER GREATER-THAN NOR LESS-THAN (U+2279)	e289b9
≺	PRECEDES (U+227A)	e289ba
≻	SUCCEEDS (U+227B)	e289bb
≼	PRECEDES OR EQUAL TO (U+227C)	e289bc
≽	SUCCEEDS OR EQUAL TO (U+227D)	e289bd
≾	PRECEDES OR EQUIVALENT TO (U+227E)	e289be
≿	SUCCEEDS OR EQUIVALENT TO (U+227F)	e289bf
⊀	DOES NOT PRECEDE (U+2280)	e28a80
⊁	DOES NOT SUCCEED (U+2281)	e28a81
⊂	SUBSET OF (U+2282)	e28a82
⊃	SUPERSET OF (U+2283)	e28a83
⊄	NOT A SUBSET OF (U+2284)	e28a84
⊅	NOT A SUPERSET OF (U+2285)	e28a85
⊆	SUBSET OF OR EQUAL TO (U+2286)	e28a86
⊇	SUPERSET OF OR EQUAL TO (U+2287)	e28a87
⊈	NEITHER A SUBSET OF NOR EQUAL TO (U+2288)	e28a88
⊉	NEITHER A SUPERSET OF NOR EQUAL TO (U+2289)	e28a89
⊊	SUBSET OF WITH NOT EQUAL TO (U+228A)	e28a8a
⊋	SUPERSET OF WITH NOT EQUAL TO (U+228B)	e28a8b
⊌	MULTISET (U+228C)	e28a8c
⊍	MULTISET MULTIPLICATION (U+228D)	e28a8d
⊎	MULTISET UNION (U+228E)	e28a8e
⊏	SQUARE IMAGE OF (U+228F)	e28a8f
⊐	SQUARE ORIGINAL OF (U+2290)	e28a90
⊑	SQUARE IMAGE OF OR EQUAL TO (U+2291)	e28a91
⊒	SQUARE ORIGINAL OF OR EQUAL TO (U+2292)	e28a92
⊓	SQUARE CAP (U+2293)	e28a93
⊔	SQUARE CUP (U+2294)	e28a94
⊕	CIRCLED PLUS (U+2295)	e28a95
⊖	CIRCLED MINUS (U+2296)	e28a96
⊗	CIRCLED TIMES (U+2297)	e28a97
⊘	CIRCLED DIVISION SLASH (U+2298)	e28a98
⊙	CIRCLED DOT OPERATOR (U+2299)	e28a99
⊚	CIRCLED RING OPERATOR (U+229A)	e28a9a
⊛	CIRCLED ASTERISK OPERATOR (U+229B)	e28a9b
⊜	CIRCLED EQUALS (U+229C)	e28a9c
⊝	CIRCLED DASH (U+229D)	e28a9d
⊞	SQUARED PLUS (U+229E)	e28a9e
⊟	SQUARED MINUS (U+229F)	e28a9f
⊠	SQUARED TIMES (U+22A0)	e28aa0
⊡	SQUARED DOT OPERATOR (U+22A1)	e28aa1
⊢	RIGHT TACK (U+22A2)	e28aa2
⊣	LEFT TACK (U+22A3)	e28aa3
⊤	DOWN TACK (U+22A4)	e28aa4
⊥	UP TACK (U+22A5)	e28aa5
⊦	ASSERTION (U+22A6)	e28aa6
⊧	MODELS (U+22A7)	e28aa7
⊨	TRUE (U+22A8)	e28aa8
⊩	FORCES (U+22A9)	e28aa9
⊪	TRIPLE VERTICAL BAR RIGHT TURNSTILE (U+22AA)	e28aaa
⊫	DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE (U+22AB)	e28aab
⊬	DOES NOT PROVE (U+22AC)	e28aac
⊭	NOT TRUE (U+22AD)	e28aad
⊮	DOES NOT FORCE (U+22AE)	e28aae
⊯	NEGATED DOUBLE VERTICAL BAR DOUBLE RIGHT TURNSTILE (U+22AF)	e28aaf
⊰	PRECEDES UNDER RELATION (U+22B0)	e28ab0
⊱	SUCCEEDS UNDER RELATION (U+22B1)	e28ab1
⊲	NORMAL SUBGROUP OF (U+22B2)	e28ab2
⊳	CONTAINS AS NORMAL SUBGROUP (U+22B3)	e28ab3
⊴	NORMAL SUBGROUP OF OR EQUAL TO (U+22B4)	e28ab4
⊵	CONTAINS AS NORMAL SUBGROUP OR EQUAL TO (U+22B5)	e28ab5
⊶	ORIGINAL OF (U+22B6)	e28ab6
⊷	IMAGE OF (U+22B7)	e28ab7
⊸	MULTIMAP (U+22B8)	e28ab8
⊹	HERMITIAN CONJUGATE MATRIX (U+22B9)	e28ab9
⊺	INTERCALATE (U+22BA)	e28aba
⊻	XOR (U+22BB)	e28abb
⊼	NAND (U+22BC)	e28abc
⊽	NOR (U+22BD)	e28abd
⊾	RIGHT ANGLE WITH ARC (U+22BE)	e28abe
⊿	RIGHT TRIANGLE (U+22BF)	e28abf
⋀	N-ARY LOGICAL AND (U+22C0)	e28b80
⋁	N-ARY LOGICAL OR (U+22C1)	e28b81
⋂	N-ARY INTERSECTION (U+22C2)	e28b82
⋃	N-ARY UNION (U+22C3)	e28b83
⋄	DIAMOND OPERATOR (U+22C4)	e28b84
⋅	DOT OPERATOR (U+22C5)	e28b85
⋆	STAR OPERATOR (U+22C6)	e28b86
⋇	DIVISION TIMES (U+22C7)	e28b87
⋈	BOWTIE (U+22C8)	e28b88
⋉	LEFT NORMAL FACTOR SEMIDIRECT PRODUCT (U+22C9)	e28b89
⋊	RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT (U+22CA)	e28b8a
⋋	LEFT SEMIDIRECT PRODUCT (U+22CB)	e28b8b
⋌	RIGHT SEMIDIRECT PRODUCT (U+22CC)	e28b8c
⋍	REVERSED TILDE EQUALS (U+22CD)	e28b8d
⋎	CURLY LOGICAL OR (U+22CE)	e28b8e
⋏	CURLY LOGICAL AND (U+22CF)	e28b8f
⋐	DOUBLE SUBSET (U+22D0)	e28b90
⋑	DOUBLE SUPERSET (U+22D1)	e28b91
⋒	DOUBLE INTERSECTION (U+22D2)	e28b92
⋓	DOUBLE UNION (U+22D3)	e28b93
⋔	PITCHFORK (U+22D4)	e28b94
⋕	EQUAL AND PARALLEL TO (U+22D5)	e28b95
⋖	LESS-THAN WITH DOT (U+22D6)	e28b96
⋗	GREATER-THAN WITH DOT (U+22D7)	e28b97
⋘	VERY MUCH LESS-THAN (U+22D8)	e28b98
⋙	VERY MUCH GREATER-THAN (U+22D9)	e28b99
⋚	LESS-THAN EQUAL TO OR GREATER-THAN (U+22DA)	e28b9a
⋛	GREATER-THAN EQUAL TO OR LESS-THAN (U+22DB)	e28b9b
⋜	EQUAL TO OR LESS-THAN (U+22DC)	e28b9c
⋝	EQUAL TO OR GREATER-THAN (U+22DD)	e28b9d
⋞	EQUAL TO OR PRECEDES (U+22DE)	e28b9e
⋟	EQUAL TO OR SUCCEEDS (U+22DF)	e28b9f
⋠	DOES NOT PRECEDE OR EQUAL (U+22E0)	e28ba0
⋡	DOES NOT SUCCEED OR EQUAL (U+22E1)	e28ba1
⋢	NOT SQUARE IMAGE OF OR EQUAL TO (U+22E2)	e28ba2
⋣	NOT SQUARE ORIGINAL OF OR EQUAL TO (U+22E3)	e28ba3
⋤	SQUARE IMAGE OF OR NOT EQUAL TO (U+22E4)	e28ba4
⋥	SQUARE ORIGINAL OF OR NOT EQUAL TO (U+22E5)	e28ba5
⋦	LESS-THAN BUT NOT EQUIVALENT TO (U+22E6)	e28ba6
⋧	GREATER-THAN BUT NOT EQUIVALENT TO (U+22E7)	e28ba7
⋨	PRECEDES BUT NOT EQUIVALENT TO (U+22E8)	e28ba8
⋩	SUCCEEDS BUT NOT EQUIVALENT TO (U+22E9)	e28ba9
⋪	NOT NORMAL SUBGROUP OF (U+22EA)	e28baa
⋫	DOES NOT CONTAIN AS NORMAL SUBGROUP (U+22EB)	e28bab
⋬	NOT NORMAL SUBGROUP OF OR EQUAL TO (U+22EC)	e28bac
⋭	DOES NOT CONTAIN AS NORMAL SUBGROUP OR EQUAL (U+22ED)	e28bad
⋮	VERTICAL ELLIPSIS (U+22EE)	e28bae
⋯	MIDLINE HORIZONTAL ELLIPSIS (U+22EF)	e28baf
⋰	UP RIGHT DIAGONAL ELLIPSIS (U+22F0)	e28bb0
⋱	DOWN RIGHT DIAGONAL ELLIPSIS (U+22F1)	e28bb1
⋲	ELEMENT OF WITH LONG HORIZONTAL STROKE (U+22F2)	e28bb2
⋳	ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE (U+22F3)	e28bb3
⋴	SMALL ELEMENT OF WITH VERTICAL BAR AT END OF HORIZONTAL STROKE (U+22F4)	e28bb4
⋵	ELEMENT OF WITH DOT ABOVE (U+22F5)	e28bb5
⋶	ELEMENT OF WITH OVERBAR (U+22F6)	e28bb6
⋷	SMALL ELEMENT OF WITH OVERBAR (U+22F7)	e28bb7
⋸	ELEMENT OF WITH UNDERBAR (U+22F8)	e28bb8
⋹	ELEMENT OF WITH TWO HORIZONTAL STROKES (U+22F9)	e28bb9
⋺	CONTAINS WITH LONG HORIZONTAL STROKE (U+22FA)	e28bba
⋻	CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE (U+22FB)	e28bbb
⋼	SMALL CONTAINS WITH VERTICAL BAR AT END OF HORIZONTAL STROKE (U+22FC)	e28bbc
⋽	CONTAINS WITH OVERBAR (U+22FD)	e28bbd
⋾	SMALL CONTAINS WITH OVERBAR (U+22FE)	e28bbe
⋿	Z NOTATION BAG MEMBERSHIP (U+22FF)	e28bbf
⌀	DIAMETER SIGN (U+2300)	e28c80
⌁	ELECTRIC ARROW (U+2301)	e28c81
⌂	HOUSE (U+2302)	e28c82
⌃	UP ARROWHEAD (U+2303)	e28c83
⌄	DOWN ARROWHEAD (U+2304)	e28c84
⌅	PROJECTIVE (U+2305)	e28c85
⌆	PERSPECTIVE (U+2306)	e28c86
⌇	WAVY LINE (U+2307)	e28c87
⌈	LEFT CEILING (U+2308)	e28c88
⌉	RIGHT CEILING (U+2309)	e28c89
⌊	LEFT FLOOR (U+230A)	e28c8a
⌋	RIGHT FLOOR (U+230B)	e28c8b
⌌	BOTTOM RIGHT CROP (U+230C)	e28c8c
⌍	BOTTOM LEFT CROP (U+230D)	e28c8d
⌎	TOP RIGHT CROP (U+230E)	e28c8e
⌏	TOP LEFT CROP (U+230F)	e28c8f
⌐	REVERSED NOT SIGN (U+2310)	e28c90
⌑	SQUARE LOZENGE (U+2311)	e28c91
⌒	ARC (U+2312)	e28c92
⌓	SEGMENT (U+2313)	e28c93
⌔	SECTOR (U+2314)	e28c94
⌕	TELEPHONE RECORDER (U+2315)	e28c95
⌖	POSITION INDICATOR (U+2316)	e28c96
⌗	VIEWDATA SQUARE (U+2317)	e28c97
⌘	PLACE OF INTEREST SIGN (U+2318)	e28c98
⌙	TURNED NOT SIGN (U+2319)	e28c99
⌚	WATCH (U+231A)	e28c9a
⌛	HOURGLASS (U+231B)	e28c9b
⌜	TOP LEFT CORNER (U+231C)	e28c9c
⌝	TOP RIGHT CORNER (U+231D)	e28c9d
⌞	BOTTOM LEFT CORNER (U+231E)	e28c9e
⌟	BOTTOM RIGHT CORNER (U+231F)	e28c9f
⌠	TOP HALF INTEGRAL (U+2320)	e28ca0
⌡	BOTTOM HALF INTEGRAL (U+2321)	e28ca1
⌢	FROWN (U+2322)	e28ca2
⌣	SMILE (U+2323)	e28ca3
⌤	UP ARROWHEAD BETWEEN TWO HORIZONTAL BARS (U+2324)	e28ca4
⌥	OPTION KEY (U+2325)	e28ca5
⌦	ERASE TO THE RIGHT (U+2326)	e28ca6
⌧	X IN A RECTANGLE BOX (U+2327)	e28ca7
⌨	KEYBOARD (U+2328)	e28ca8
〈	LEFT-POINTING ANGLE BRACKET (U+2329)	e28ca9
〉	RIGHT-POINTING ANGLE BRACKET (U+232A)	e28caa
⌫	ERASE TO THE LEFT (U+232B)	e28cab
⌬	BENZENE RING (U+232C)	e28cac
⌭	CYLINDRICITY (U+232D)	e28cad
⌮	ALL AROUND-PROFILE (U+232E)	e28cae
⌯	SYMMETRY (U+232F)	e28caf
⌰	TOTAL RUNOUT (U+2330)	e28cb0
⌱	DIMENSION ORIGIN (U+2331)	e28cb1
⌲	CONICAL TAPER (U+2332)	e28cb2
⌳	SLOPE (U+2333)	e28cb3
⌴	COUNTERBORE (U+2334)	e28cb4
⌵	COUNTERSINK (U+2335)	e28cb5
⌶	APL FUNCTIONAL SYMBOL I-BEAM (U+2336)	e28cb6
⌷	APL FUNCTIONAL SYMBOL SQUISH QUAD (U+2337)	e28cb7
⌸	APL FUNCTIONAL SYMBOL QUAD EQUAL (U+2338)	e28cb8
⌹	APL FUNCTIONAL SYMBOL QUAD DIVIDE (U+2339)	e28cb9
⌺	APL FUNCTIONAL SYMBOL QUAD DIAMOND (U+233A)	e28cba
⌻	APL FUNCTIONAL SYMBOL QUAD JOT (U+233B)	e28cbb
⌼	APL FUNCTIONAL SYMBOL QUAD CIRCLE (U+233C)	e28cbc
⌽	APL FUNCTIONAL SYMBOL CIRCLE STILE (U+233D)	e28cbd
⌾	APL FUNCTIONAL SYMBOL CIRCLE JOT (U+233E)	e28cbe
⌿	APL FUNCTIONAL SYMBOL SLASH BAR (U+233F)	e28cbf
⍀	APL FUNCTIONAL SYMBOL BACKSLASH BAR (U+2340)	e28d80
⍁	APL FUNCTIONAL SYMBOL QUAD SLASH (U+2341)	e28d81
⍂	APL FUNCTIONAL SYMBOL QUAD BACKSLASH (U+2342)	e28d82
⍃	APL FUNCTIONAL SYMBOL QUAD LESS-THAN (U+2343)	e28d83
⍄	APL FUNCTIONAL SYMBOL QUAD GREATER-THAN (U+2344)	e28d84
⍅	APL FUNCTIONAL SYMBOL LEFTWARDS VANE (U+2345)	e28d85
⍆	APL FUNCTIONAL SYMBOL RIGHTWARDS VANE (U+2346)	e28d86
⍇	APL FUNCTIONAL SYMBOL QUAD LEFTWARDS ARROW (U+2347)	e28d87
⍈	APL FUNCTIONAL SYMBOL QUAD RIGHTWARDS ARROW (U+2348)	e28d88
⍉	APL FUNCTIONAL SYMBOL CIRCLE BACKSLASH (U+2349)	e28d89
⍊	APL FUNCTIONAL SYMBOL DOWN TACK UNDERBAR (U+234A)	e28d8a
⍋	APL FUNCTIONAL SYMBOL DELTA STILE (U+234B)	e28d8b
⍌	APL FUNCTIONAL SYMBOL QUAD DOWN CARET (U+234C)	e28d8c
⍍	APL FUNCTIONAL SYMBOL QUAD DELTA (U+234D)	e28d8d
⍎	APL FUNCTIONAL SYMBOL DOWN TACK JOT (U+234E)	e28d8e
⍏	APL FUNCTIONAL SYMBOL UPWARDS VANE (U+234F)	e28d8f
⍐	APL FUNCTIONAL SYMBOL QUAD UPWARDS ARROW (U+2350)	e28d90
⍑	APL FUNCTIONAL SYMBOL UP TACK OVERBAR (U+2351)	e28d91
⍒	APL FUNCTIONAL SYMBOL DEL STILE (U+2352)	e28d92
⍓	APL FUNCTIONAL SYMBOL QUAD UP CARET (U+2353)	e28d93
⍔	APL FUNCTIONAL SYMBOL QUAD DEL (U+2354)	e28d94
⍕	APL FUNCTIONAL SYMBOL UP TACK JOT (U+2355)	e28d95
⍖	APL FUNCTIONAL SYMBOL DOWNWARDS VANE (U+2356)	e28d96
⍗	APL FUNCTIONAL SYMBOL QUAD DOWNWARDS ARROW (U+2357)	e28d97
⍘	APL FUNCTIONAL SYMBOL QUOTE UNDERBAR (U+2358)	e28d98
⍙	APL FUNCTIONAL SYMBOL DELTA UNDERBAR (U+2359)	e28d99
⍚	APL FUNCTIONAL SYMBOL DIAMOND UNDERBAR (U+235A)	e28d9a
⍛	APL FUNCTIONAL SYMBOL JOT UNDERBAR (U+235B)	e28d9b
⍜	APL FUNCTIONAL SYMBOL CIRCLE UNDERBAR (U+235C)	e28d9c
⍝	APL FUNCTIONAL SYMBOL UP SHOE JOT (U+235D)	e28d9d
⍞	APL FUNCTIONAL SYMBOL QUOTE QUAD (U+235E)	e28d9e
⍟	APL FUNCTIONAL SYMBOL CIRCLE STAR (U+235F)	e28d9f
⍠	APL FUNCTIONAL SYMBOL QUAD COLON (U+2360)	e28da0
⍡	APL FUNCTIONAL SYMBOL UP TACK DIAERESIS (U+2361)	e28da1
⍢	APL FUNCTIONAL SYMBOL DEL DIAERESIS (U+2362)	e28da2
⍣	APL FUNCTIONAL SYMBOL STAR DIAERESIS (U+2363)	e28da3
⍤	APL FUNCTIONAL SYMBOL JOT DIAERESIS (U+2364)	e28da4
⍥	APL FUNCTIONAL SYMBOL CIRCLE DIAERESIS (U+2365)	e28da5
⍦	APL FUNCTIONAL SYMBOL DOWN SHOE STILE (U+2366)	e28da6
⍧	APL FUNCTIONAL SYMBOL LEFT SHOE STILE (U+2367)	e28da7
⍨	APL FUNCTIONAL SYMBOL TILDE DIAERESIS (U+2368)	e28da8
⍩	APL FUNCTIONAL SYMBOL GREATER-THAN DIAERESIS (U+2369)	e28da9
⍪	APL FUNCTIONAL SYMBOL COMMA BAR (U+236A)	e28daa
⍫	APL FUNCTIONAL SYMBOL DEL TILDE (U+236B)	e28dab
⍬	APL FUNCTIONAL SYMBOL ZILDE (U+236C)	e28dac
⍭	APL FUNCTIONAL SYMBOL STILE TILDE (U+236D)
⍮	APL FUNCTIONAL SYMBOL SEMICOLON UNDERBAR (U+236E)	e28dae
⍯	APL FUNCTIONAL SYMBOL QUAD NOT EQUAL (U+236F)	e28daf
⍰	APL FUNCTIONAL SYMBOL QUAD QUESTION (U+2370)	e28db0
⍱	APL FUNCTIONAL SYMBOL DOWN CARET TILDE (U+2371)	e28db1
⍲	APL FUNCTIONAL SYMBOL UP CARET TILDE (U+2372)	e28db2
⍳	APL FUNCTIONAL SYMBOL IOTA (U+2373)	e28db3
⍴	APL FUNCTIONAL SYMBOL RHO (U+2374)	e28db4
⍵	APL FUNCTIONAL SYMBOL OMEGA (U+2375)	e28db5
⍶	APL FUNCTIONAL SYMBOL ALPHA UNDERBAR (U+2376)	e28db6
⍷	APL FUNCTIONAL SYMBOL EPSILON UNDERBAR (U+2377)	e28db7
⍸	APL FUNCTIONAL SYMBOL IOTA UNDERBAR (U+2378)	e28db8
⍹	APL FUNCTIONAL SYMBOL OMEGA UNDERBAR (U+2379)	e28db9
⍺	APL FUNCTIONAL SYMBOL ALPHA (U+237A)	e28dba
⍻	NOT CHECK MARK (U+237B)	e28dbb
⍼	RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW (U+237C)	e28dbc
⍽	SHOULDERED OPEN BOX (U+237D)	e28dbd
⍾	BELL SYMBOL (U+237E)	e28dbe
⍿	VERTICAL LINE WITH MIDDLE DOT (U+237F)	e28dbf
⎀	INSERTION SYMBOL (U+2380)	e28e80
⎁	CONTINUOUS UNDERLINE SYMBOL (U+2381)	e28e81
⎂	DISCONTINUOUS UNDERLINE SYMBOL (U+2382)	e28e82
⎃	EMPHASIS SYMBOL (U+2383)	e28e83
⎄	COMPOSITION SYMBOL (U+2384)	e28e84
⎅	WHITE SQUARE WITH CENTRE VERTICAL LINE (U+2385)	e28e85
⎆	ENTER SYMBOL (U+2386)	e28e86
⎇	ALTERNATIVE KEY SYMBOL (U+2387)	e28e87
⎈	HELM SYMBOL (U+2388)	e28e88
⎉	CIRCLED HORIZONTAL BAR WITH NOTCH (U+2389)	e28e89
⎊	CIRCLED TRIANGLE DOWN (U+238A)	e28e8a
⎋	BROKEN CIRCLE WITH NORTHWEST ARROW (U+238B)	e28e8b
⎌	UNDO SYMBOL (U+238C)	e28e8c
⎍	MONOSTABLE SYMBOL (U+238D)	e28e8d
⎎	HYSTERESIS SYMBOL (U+238E)	e28e8e
⎏	OPEN-CIRCUIT-OUTPUT H-TYPE SYMBOL (U+238F)	e28e8f
⎐	OPEN-CIRCUIT-OUTPUT L-TYPE SYMBOL (U+2390)	e28e90
⎑	PASSIVE-PULL-DOWN-OUTPUT SYMBOL (U+2391)	e28e91
⎒	PASSIVE-PULL-UP-OUTPUT SYMBOL (U+2392)	e28e92
⎓	DIRECT CURRENT SYMBOL FORM TWO (U+2393)	e28e93
⎔	SOFTWARE-FUNCTION SYMBOL (U+2394)	e28e94
⎕	APL FUNCTIONAL SYMBOL QUAD (U+2395)	e28e95
⎖	DECIMAL SEPARATOR KEY SYMBOL (U+2396)	e28e96
⎗	PREVIOUS PAGE (U+2397)	e28e97
⎘	NEXT PAGE (U+2398)	e28e98
⎙	PRINT SCREEN SYMBOL (U+2399)	e28e99
⎚	CLEAR SCREEN SYMBOL (U+239A)	e28e9a
⎛	LEFT PARENTHESIS UPPER HOOK (U+239B)	e28e9b
⎜	LEFT PARENTHESIS EXTENSION (U+239C)	e28e9c
⎝	LEFT PARENTHESIS LOWER HOOK (U+239D)	e28e9d
⎞	RIGHT PARENTHESIS UPPER HOOK (U+239E)	e28e9e
⎟	RIGHT PARENTHESIS EXTENSION (U+239F)	e28e9f
⎠	RIGHT PARENTHESIS LOWER HOOK (U+23A0)	e28ea0
⎡	LEFT SQUARE BRACKET UPPER CORNER (U+23A1)	e28ea1
⎢	LEFT SQUARE BRACKET EXTENSION (U+23A2)	e28ea2
⎣	LEFT SQUARE BRACKET LOWER CORNER (U+23A3)	e28ea3
⎤	RIGHT SQUARE BRACKET UPPER CORNER (U+23A4)	e28ea4
⎥	RIGHT SQUARE BRACKET EXTENSION (U+23A5)	e28ea5
⎦	RIGHT SQUARE BRACKET LOWER CORNER (U+23A6)	e28ea6
⎧	LEFT CURLY BRACKET UPPER HOOK (U+23A7)	e28ea7
⎨	LEFT CURLY BRACKET MIDDLE PIECE (U+23A8)	e28ea8
⎩	LEFT CURLY BRACKET LOWER HOOK (U+23A9)	e28ea9
⎪	CURLY BRACKET EXTENSION (U+23AA)	e28eaa
⎫	RIGHT CURLY BRACKET UPPER HOOK (U+23AB)	e28eab
⎬	RIGHT CURLY BRACKET MIDDLE PIECE (U+23AC)	e28eac
⎭	RIGHT CURLY BRACKET LOWER HOOK (U+23AD)	e28ead
⎮	INTEGRAL EXTENSION (U+23AE)	e28eae
⎯	HORIZONTAL LINE EXTENSION (U+23AF)	e28eaf
⎰	UPPER LEFT OR LOWER RIGHT CURLY BRACKET SECTION (U+23B0)	e28eb0
⎱	UPPER RIGHT OR LOWER LEFT CURLY BRACKET SECTION (U+23B1)	e28eb1
⎲	SUMMATION TOP (U+23B2)	e28eb2
⎳	SUMMATION BOTTOM (U+23B3)	e28eb3
⎴	TOP SQUARE BRACKET (U+23B4)	e28eb4
⎵	BOTTOM SQUARE BRACKET (U+23B5)	e28eb5
⎶	BOTTOM SQUARE BRACKET OVER TOP SQUARE BRACKET (U+23B6)	e28eb6
⎷	RADICAL SYMBOL BOTTOM (U+23B7)	e28eb7
⎸	LEFT VERTICAL BOX LINE (U+23B8)	e28eb8
⎹	RIGHT VERTICAL BOX LINE (U+23B9)	e28eb9
⎺	HORIZONTAL SCAN LINE-1 (U+23BA)	e28eba
⎻	HORIZONTAL SCAN LINE-3 (U+23BB)	e28ebb
⎼	HORIZONTAL SCAN LINE-7 (U+23BC)	e28ebc
⎽	HORIZONTAL SCAN LINE-9 (U+23BD)	e28ebd
⎾	DENTISTRY SYMBOL LIGHT VERTICAL AND TOP RIGHT (U+23BE)	e28ebe
⎿	DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM RIGHT (U+23BF)	e28ebf
⏀	DENTISTRY SYMBOL LIGHT VERTICAL WITH CIRCLE (U+23C0)	e28f80
⏁	DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH CIRCLE (U+23C1)	e28f81
⏂	DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH CIRCLE (U+23C2)	e28f82
⏃	DENTISTRY SYMBOL LIGHT VERTICAL WITH TRIANGLE (U+23C3)	e28f83
⏄	DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH TRIANGLE (U+23C4)	e28f84
⏅	DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH TRIANGLE (U+23C5)	e28f85
⏆	DENTISTRY SYMBOL LIGHT VERTICAL AND WAVE (U+23C6)	e28f86
⏇	DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL WITH WAVE (U+23C7)	e28f87
⏈	DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL WITH WAVE (U+23C8)	e28f88
⏉	DENTISTRY SYMBOL LIGHT DOWN AND HORIZONTAL (U+23C9)	e28f89
⏊	DENTISTRY SYMBOL LIGHT UP AND HORIZONTAL (U+23CA)	e28f8a
⏋	DENTISTRY SYMBOL LIGHT VERTICAL AND TOP LEFT (U+23CB)	e28f8b
⏌	DENTISTRY SYMBOL LIGHT VERTICAL AND BOTTOM LEFT (U+23CC)	e28f8c
⏍	SQUARE FOOT (U+23CD)	e28f8d
